Title,Subbed,Dubbed
Neo Ranga,48,0
Spooky Kitaro: Giant Sea Monster,1,0
[RAW] Kaibutsu-kun (1980),188,0
[RAW] Akuma-kun,42,0
[RAW] Oretacha Youkai Ningen G,25,0
[RAW] Youkai Ningen Bem,26,0
JoJo's Bizarre Adventure,6,6
JoJo's Bizarre Adventure,7,7
Zombie-Loan,2,0
Tomie,2,0
Attack on Titan: Lost Girls,3,0
Dorohedoro: Ma no Omake,1,1
Berserk: The Golden Age Arc III - The Advent,1,1
Berserk: The Golden Age Arc II - The Battle for Doldrey,1,1
JoJo's Bizarre Adventure: Battle Tendency,2,0
Castlevania,4,4
Castlevania 3rd Season,10,10
Castlevania 2nd Season,8,8
Castlevania 4th Season,10,10
Elfen Lied: In the Passing Rain,1,1
Trese,6,6
Sankarea OVA,2,0
"Sankarea: I, Too, Am... A Zombie...",1,1
Hell Teacher Nube OVA,3,0
Shiki Specials,2,2
Corpse Party: Missing Footage (Uncensored),1,0
Corpse Party: Tortured Souls (Uncensored),4,0
3x3 Eyes,4,0
3x3 Eyes: Legend of the Divine Demon,3,0
Angels of Death,16,16
Another,12,12
Aooni The Blue Monster,13,0
Ajin: Demi-Human,13,13
Ajin 2nd Season,13,13
